en,ru
A bus driver is responsible for the safety of the passengers.,За безопасность пассажиров отвечает водитель автобуса.
A bus transported us from the airport to the city.,Автобус перевез нас из аэропорта в город.
A bus transported us from the airport to the city.,Автобус перевез нас из аэропорта в город.
A button came off my coat.,С моего пальто сорвалась кнопка.
A button came off my coat.,С моего пальто сорвалась кнопка.
A button has come off my raincoat.,Кнопка слезла с моего плаща.
A button has come off my raincoat.,Кнопка слезла с моего плаща.
A button has come off the coat.,Кнопка сорвалась с пальто.
A button has come off the coat.,С пальто снята кнопка.
A camel can store a large amount of water in the hump on its back.,Верблюд может хранить большое количество воды в горбе на спине.
A camel can store a large amount of water in the hump on its back.,Верблюд может хранить большое количество воды в горбе на спине.
A camel is to the desert what a ship is to the sea.,"В пустыне - верблюд, который - в море."
A camel is to the desert what a ship is to the sea.,"Воистину, верблюд - к пустыне, а корабль - к морю."
"A camel is, so to speak, a ship on the desert.","Верблюд - это, так сказать, корабль в пустыне."
"A camel is, so to speak, a ship on the desert.","Так сказать, верблюд - это корабль в пустыне."
A car drew up in front of my house.,Машина нарисована перед моим домом.
A car drew up in front of my house.,Машина нарисована перед моим домом.
A careful reader would have noticed the mistake.,Тщательный читатель заметил бы ошибку.
A careful reader would have noticed the mistake.,Тщательный читатель заметил бы ошибку.
A cat appeared from under the desk.,Кошка появилась из-под стола.
A cat appeared from under the desk.,Кошка появилась из-под стола.
A cat got out from under the car.,Кошка вышла из под машины.
A cat got out from under the car.,Кошка вышла из-под машины.
A cat ran across the street.,Кошка побежала через дорогу.
A cat ran across the street.,Кошка побежала через дорогу.
A cat was sitting on the chair.,Кошка сидела на стуле.
A cat was sitting on the chair.,Кошка сидела на стуле.
A cellar was dug on top of the hill and they slowly moved the house from the road to the hill.,"На вершине холма был вырыт подвал, и они медленно перевезли дом с дороги на холм."
A cellar was dug on top of the hill and they slowly moved the house from the road to the hill.,"На вершине холма был вырыт подвал, и они медленно перенесли дом с дороги на холм."
A cheetah runs as fast as any animal.,"Гепард бегает так же быстро, как и любое животное."
A cheetah runs as fast as any animal.,"Гепард бежит так же быстро, как и любое животное."
"A child is not a vessel for filling, but a fire to light.","Ребенок не является сосудом для наполнения, а огнем для освещения."
"A child is not a vessel for filling, but a fire to light.","Ребёнок - это не сосуд для наполнения, а огонь для зажигания."
A church spire could be seen in the distance.,Церковный шпиль можно было увидеть вдали.
A church spire could be seen in the distance.,Церковный шпиль можно было увидеть вдалеке.
A cloud floated across the sky.,Облако плавало по небу.
A cloud floated across the sky.,Облако плавало по небу.
A cloud passed across the moon.,Облако пересекло луну.
A cloud passed across the moon.,Облако пересекло луну.
A cold spell gripped Europe.,Холодное заклинание захватило Европу.
A cold spell gripped Europe.,Холодное заклинание захватило Европу.
A conflict of opinions arose over the matter.,По этому вопросу возник конфликт мнений.
A conflict of opinions arose over the matter.,По этому вопросу возникла коллизия мнений.
A cow gives us milk.,Корова дает нам молоко.
A cow gives us milk.,Корова дает нам молоко.
A cow is a useful animal.,Корова - полезное животное.
A cow is a useful animal.,Корова - полезное животное.
A crow is as black as coal.,"Ворон черный, как уголь."
A crow is as black as coal.,"Ворона такая же черная, как и уголь."
A cubic meter corresponds to 1000 liters.,Кубический метр соответствует 1000 литров.
A cubic meter corresponds to 1000 liters.,Кубический метр соответствует 1000 литров.
A cursory examination of his teeth indicated that he had gingivitis.,"Потоковый осмотр зубов показал, что у него цинивит."
A cursory examination of his teeth indicated that he had gingivitis.,"Буквальное обследование зубов показало, что у него джингивит."
A day has twenty-four hours.,У дня есть 24 часа.
A day has twenty-four hours.,У дня есть 24 часа.
A doctor's instruments must be kept absolutely clean.,Инструменты врача должны быть абсолютно чистыми.
A doctor's instruments must be kept absolutely clean.,Инструменты врача должны быть абсолютно чистыми.
A door must be either shut or open.,"Дверь должна быть либо закрыта, либо открыта."
A door must be either shut or open.,"Дверь должна быть либо закрыта, либо открыта."
A dove is a symbol of peace.,Губы - это символ мира.
A dove is a symbol of peace.,Губы - это символ мира.
A driver is deeply attached to his old car.,Водитель глубоко привязан к своей старой машине.
A driver is deeply attached to his old car.,Водитель глубоко привязан к своей старой машине.
A driver was sleeping in the car.,Водитель спал в машине.
A driver was sleeping in the car.,Водитель спал в машине.
A fence between makes love more keen.,Забор между ними делает любовь более привлекательной.
A fence between makes love more keen.,Забор между ними делает любовь более привлекательной.
A fence runs around the house.,Ограда ходит вокруг дома.
A fence runs around the house.,Ограда вращается вокруг дома.
A fierce dog attacked the girl.,На девушку напала жестокая собака.
A fierce dog attacked the girl.,Жестокая собака напала на девушку.
A fire broke out after the earthquake.,После землетрясения начался пожар.
A fire broke out after the earthquake.,После землетрясения начался пожар.
A fire broke out near my house.,Рядом с моим домом начался пожар.
A fire broke out near my house.,Рядом с моим домом начался пожар.
A fire can spread faster than you can run.,"Огонь может распространяться быстрее, чем ты можешь бежать."
A fire can spread faster than you can run.,"Огонь может распространяться быстрее, чем ты можешь бежать."
A fire may happen at any moment.,Пожар может произойти в любой момент.
A fire may happen at any moment.,Пожар может произойти в любой момент.
A fish leaped out of the water.,Рыба выскочила из воды.
A fish leaped out of the water.,Рыба выскочила из воды.
A fish swims by moving its tail.,"Рыба плавает, двигая хвостом."
A fish swims by moving its tail.,"Рыба плавает, двигая хвостом."
A fly can walk on the ceiling.,Муха может ходить по потолку.
A fly can walk on the ceiling.,Муха может ходить по потолку.
A fool's bolt is soon shot.,Скоро будет застрелен болт дуры.
A fool's bolt is soon shot.,Скоро пристрелят болта дурака.
A fork fell off the table.,Вилка упала со стола.
A fork fell off the table.,Вилка упала со стола.
A fox is not caught twice in the same snare.,Лиса не попадает дважды в одну и ту же сеть.
A fox is not caught twice in the same snare.,Лиса не попадает дважды в одну и ту же сеть.
A friend in need is a friend indeed.,Друг в беде действительно друг.
A friend in need is a friend indeed.,Друг в беде действительно друг.
A friend told me that story.,Друг рассказал мне эту историю.
A friend told me that story.,Друг рассказал мне эту историю.
A full description of him has been circulated in every newspaper.,Полное описание его содержания было распространено во всех газетах.
A full description of him has been circulated in every newspaper.,Его полное описание было распространено во всех газетах.
A fuse has blown.,Взорвался взрыватель.
A fuse has blown.,Взрывчатка взорвалась.
A gentle wind made ripples on the surface of the pond.,Нежный ветер дробил на поверхности пруда.
A gentle wind made ripples on the surface of the pond.,Легкий ветер дробил на поверхности пруда.
A gigantic bird came flying toward him.,К нему подлетела гигантская птица.
A gigantic bird came flying toward him.,К нему прилетела гигантская птица.
A girl approached the king from among the crowd.,Девушка подошла к королю из толпы.
A girl approached the king from among the crowd.,Девушка подошла к королю из толпы.
A girl with blonde hair came to see you.,К тебе пришла девушка с блондинками.
A girl with blonde hair came to see you.,К тебе пришла девушка с блондинками.
A good appetite is a good sauce.,Хороший аппетит - хороший соус.
A good appetite is a good sauce.,Хороший аппетит - хороший соус.
A good coach trains this team.,Хороший тренер тренирует эту команду.
A good coach trains this team.,Хороший тренер тренирует эту команду.
A good idea came across my mind.,Мне пришла в голову хорошая идея.
A good idea came across my mind.,Мне пришла в голову хорошая идея.
A good memory is his weapon.,Хорошая память - это его оружие.
A good memory is his weapon.,Хорошая память - это его оружие.
A great man doesn't care about his appearance.,Великий человек не заботится о своей внешности.
A great man doesn't care about his appearance.,Великому человеку плевать на его внешность.
A great scholar is not necessarily a good teacher.,Великий ученый не обязательно хороший учитель.
A great scholar is not necessarily a good teacher.,Великий ученый не обязательно хороший учитель.
"A group of foreigners arrived in Edo, i.e. Tokyo.","В Эдо прибыла группа иностранцев, т.е. Токио."
"A group of foreigners arrived in Edo, i.e. Tokyo.","В Эдо прибыла группа иностранцев, т.е. Токио."
A heavy snow fell in Kyoto for the first time in ages.,В Киото впервые за многие годы упал тяжелый снег.
A heavy snow fell in Kyoto for the first time in ages.,В Киото впервые за сто лет упал тяжелый снег.
A helicopter circled over us.,Нас облетел вертолет.
A helicopter circled over us.,Нас облетел вертолет.
A helicopter is able to take off and land straight up and down.,Вертолет может взлететь и приземляться прямо вверх и вниз.
A helicopter is able to take off and land straight up and down.,Вертолет может взлететь и приземлиться прямо вверх и вниз.
A hideous monster used to live there.,Там жил ужасный монстр.
A hideous monster used to live there.,Жуткое чудовище жило там.
A home is a once-in-a-lifetime purchase so you don't want to make any snap decisions.,"Дом - это покупка раз в жизни, так что ты не хочешь принимать поспешные решения."
A home is a once-in-a-lifetime purchase so you don't want to make any snap decisions.,"Дом - это покупка раз в жизни, так что ты не хочешь принимать поспешные решения."
A hummingbird is no larger than a butterfly.,"Мухмад - это не больше, чем бабочка."
A hummingbird is no larger than a butterfly.,Колибри не больше бабочки.
A hunter hunted hares with his dog.,Охотник охотился на зайцов со своей собакой.
A hunter hunted hares with his dog.,Охотник охотился на зайцов со своей собакой.
A jack of all trades is a master of none.,Всякая торговля - это не мастер.
A jack of all trades is a master of none.,Витрина всех супермаркетов - это никчемный мастер.
A known mistake is better than an unknown truth.,Известная ошибка лучше неведомой истины.
A known mistake is better than an unknown truth.,Известная ошибка лучше неведомой истины.
A little louder.,Немного громче.
A little louder.,Немного громче.
A little make-up worked wonders with her.,Немного макияжа с ней сработало.
A little make-up worked wonders with her.,Немного макияжа сработал с ней чудеса.
A loaf of bread is better than the songs of birds.,"Чашка хлеба лучше, чем песни птиц."
A loaf of bread is better than the songs of birds.,"Кусок хлеба лучше, чем песни птиц."
A lot of bicycles are illegally parked in front of the station.,Перед станцией незаконно припарковано много велосипедов.
A lot of bicycles are illegally parked in front of the station.,Перед станцией незаконно припарковано много велосипедов.
A lot of boys are running in the park.,Многие парни бегут в парке.
A lot of boys are running in the park.,Многие парни бегут в парке.
A lot of people were killed in World War II.,Во время Второй мировой войны погибло много людей.
A lot of people were killed in World War II.,Во время Второй мировой войны погибло много людей.
A lot of people were waiting for him.,Его ждало много людей.
A lot of people were waiting for him.,Его ждало много людей.
A lot of policemen guarded the hall.,Многие полицейские охраняли зал.
A lot of policemen guarded the hall.,Многие полицейские охраняли зал.
A lot of trees were cut down.,Много деревьев было срублено.
A lot of trees were cut down.,Много деревьев было срублено.
A lot of young people went to Hawaii this summer.,Многие молодые люди этим летом ездили на Гавайи.
A lot of young people went to Hawaii this summer.,Этим летом многие молодые люди ездили на Гавайи.
A majority of students dislike history.,Большинство студентов не любят историю.
A majority of students dislike history.,Большинство студентов не любят историю.
A man appeared from behind the door.,Человек появился за дверью.
A man appeared from behind the door.,Мужчина появился за дверью.
A man came up to me and asked for a match.,Один мужчина подошел ко мне и попросил спичку.
A man came up to me and asked for a match.,Один мужчина подошел ко мне и попросил спичку.
A man drew near.,Подошёл мужчина.
A man drew near.,Подошёл мужчина.
A man of straw is worth a woman of gold.,Мужчина соломы стоит золотой женщины.
A man of straw is worth a woman of gold.,Мужчина соломы стоит золотой женщины.
A man overtook her.,Мужчина забрал ее.
A man overtook her.,Мужчина захватил ее.
"A man who has never gone to school may steal from a freight car, but if he has a university education, he may steal the whole railroad.","Человек, который никогда не ходил в школу, может украсть у грузового автомобиля, но если он имеет университетское образование, он может украсть всю железную дорогу."
"A man who has never gone to school may steal from a freight car, but if he has a university education, he may steal the whole railroad.","Человек, который никогда не ходил в школу, может украсть у грузового автомобиля, но если он имеет университетское образование, он может украсть всю железную дорогу."
A man's life has its ups and downs.,У жизни человека есть свои взлеты и падения.
A man's life has its ups and downs.,Жизнь человека имеет свои взлеты и падения.
A mathematical truth is neither simple nor complicated; it is.,Математическая правда не проста и не сложна; это так.
A mathematical truth is neither simple nor complicated; it is.,"Математическая правда не является ни простой, ни сложной; это так."
A minute has sixty seconds.,У минуты шестьдесят секунд.
A minute has sixty seconds.,У минуты шестьдесят секунд.
A mirror reflects light.,Зеркало отражает свет.
A mirror reflects light.,Зеркало отражает свет.
A miser hoards money not because he is prudent but because he is greedy.,"Мизер собирает деньги не потому, что он благоразумен, а потому, что он жадный."
A miser hoards money not because he is prudent but because he is greedy.,"Мизер прячет деньги не потому, что он благоразумен, а потому, что он жадный."
A miserable sequence of defeats discouraged us.,Несчастный последовательность поражений отпугнул нас.
A miserable sequence of defeats discouraged us.,Плохая последовательность поражений помешала нам.
A model must have an attractive body.,Модель должна иметь привлекательное тело.
A model must have an attractive body.,У модели должно быть привлекательное тело.
A moment's hesitation may cost a pilot his life.,Момент колебания может стоить пилоту жизни.
A moment's hesitation may cost a pilot his life.,Момент колебания может стоить пилоту жизни.
A monkey is climbing up a tall tree.,Обезьяна забирается на высокое дерево.
A monkey is climbing up a tall tree.,Обезьяна поднимается по высокому дереву.
A more experienced lawyer would have dealt with the case in a different way.,Более опытный адвокат мог бы заняться этим делом иным образом.
A more experienced lawyer would have dealt with the case in a different way.,Более опытный адвокат занимался бы этим делом иным образом.
A mosquito just bit me.,Комаровый комар укусил меня.
A mosquito just bit me.,Комар только что укусил меня.
A mouse is a timid creature.,Мышь - это робкое существо.
A mouse is a timid creature.,Мышь - робкое существо.
A mouse went for a walk on the table.,Мышь пошла прогуляться по столу.
A mouse went for a walk on the table.,Мышь пошла прогуляться по столу.
A nephew is a son of one's brother or sister.,Племянник - сын своего брата или сестры.
A nephew is a son of one's brother or sister.,Племянник - сын своего брата или сестры.
A new team was formed in order to take part in the boat race.,Для участия в гонке на лодках была сформирована новая команда.
A new team was formed in order to take part in the boat race.,Для участия в гонке на лодках была сформирована новая команда.
A nuclear war will bring about the destruction of mankind.,Ядерная война приведет к уничтожению человечества.
A nuclear war will bring about the destruction of mankind.,Ядерная война приведет к уничтожению человечества.
A number of cars are parked in front of my house.,Перед моим домом стоит несколько машин.
A number of cars are parked in front of my house.,Перед моим домом припарковано несколько машин.
A nurse took my temperature.,Медсестра выдержала мою температуру.
A nurse took my temperature.,Медсестра приняла мою температуру.
A nurse wears white.,Медсестра носит белое.
A nurse wears white.,Медсестра носит белое.
"A passenger fainted, but the stewardess brought him round.","Пассажир упал в обморок, но стюардесса привела его в себя."
"A passenger fainted, but the stewardess brought him round.","Пассажир упал в обморок, но стюардесса привезла его."
A pencil is sticking out of your pocket.,Карандаш высовывается из твоего кармана.
A pencil is sticking out of your pocket.,Карандаш высовывается из твоего кармана.
"A piano is expensive, but a car is more expensive.","Пианино дорогое, но машина дороже."
"A piano is expensive, but a car is more expensive.","Пианино дорогое, но машина дороже."
A piano is expensive.,Пианино дорого стоит.
A piano is expensive.,Пианино дорого стоит.
A piece of bread was not enough to satisfy his hunger.,"Кусок хлеба был не достаточно, чтобы удовлетворить его голод."
A piece of bread was not enough to satisfy his hunger.,"Кусок хлеба был недостаточен для того, чтобы удовлетворить его голод."
A pound is a unit of weight.,Фунт - это единица веса.
A pound is a unit of weight.,Фунт - это единица веса.
A prism decomposes light.,Призм разлагает свет.
A prism decomposes light.,Призм разлагает свет.
A promise made is a debt unpaid.,Обещание - это невыплаченная задолженность.
A promise made is a debt unpaid.,Обещание - это непогашенная задолженность.
A quarrel arose about what to do with the land.,"Возникла ссора о том, что делать с землей."
A quarrel arose about what to do with the land.,"Произошла ссора о том, что делать с землей."
A rabbit has long ears and a short tail.,У кролика длинные уши и короткий хвост.
A rabbit has long ears and a short tail.,У кролика длинные уши и короткий хвост.
A rat chewed a hole in the wall.,Крыса жвала дыру в стене.
A rat chewed a hole in the wall.,Крыса жевала дыру в стене.
A rat ran across the road.,Крыса перебежала дорогу.
A rat ran across the road.,Крыса перебежала дорогу.
"A republic is a nation whose head is not a king or queen, but a president.","Республика - это нация, чья голова не король или королева, а президент."
"A republic is a nation whose head is not a king or queen, but a president.","Республика - это нация, голова которой не король или королева, а президент."
A resolution to the problem was more difficult than we anticipated.,"Решение этой проблемы оказалось более трудным, чем мы ожидали."
A resolution to the problem was more difficult than we anticipated.,"Решение этой проблемы оказалось более трудным, чем мы ожидали."
A robot can do more work than a man can.,"Робот может делать больше работы, чем человек."
A robot can do more work than a man can.,"Робот может делать больше работы, чем человек."
A rope was thrown into the water.,В воду бросили веревку.
A rope was thrown into the water.,В воду бросили верёвку.
A rose has thorns on its stem.,На стебле розы шипы.
A rose has thorns on its stem.,У розы есть шипы на стебле.
A rose smells sweet.,Роза пахнет сладко.
A rose smells sweet.,Роза пахнет сладко.
"A shave, please.","Побриться, пожалуйста."
"A shave, please.","Побриться, пожалуйста."
A shit a day keeps the doctor away.,"Дерьмово день, чтобы доктор не брался за дело."
A shit a day keeps the doctor away.,Дерьмо в день держит доктора подальше.
A sigh fell from her lips.,С губ упал вздох.
A sigh fell from her lips.,Её губы вздохнули.
"A single step, and you will fall over the cliff.","Один шаг, и ты упадешь с обрыва."
"A single step, and you will fall over the cliff.","Один шаг, и ты упадешь с обрыва."
