en,ru,bleu,acceptability
"""Thank you."" ""You're welcome.""","""Спасибо"". ""Пожалуйста"".",0.691441569283882,0.9956287
"""Thank you."" ""You're welcome.""","""Спасибо"". ""Пожалуйста.""",0.4417918226831576,0.9947837
"""That's very nice of you,"" Willie answered.","""Это очень мило с твоей стороны"", ответил Вилли.",0.0,0.9969361
"""The phone is ringing."" ""I'll get it.""","""Телефон звонит"". ""Я возьму его"".",0.5156626918239822,0.9944992
"""This is what I was looking for!"" he exclaimed.","""Это то, что я искал!"" Он воскликнул.",0.4483386700384458,0.9768113
"""This looks pretty interesting,"" Hiroshi says.","""Это выглядит довольно интересно"", говорит Хироши.",0.0,0.9970812
"""To tell you the truth, I am scared of heights."" ""You are a coward!""","""Правда говоря, я боюсь высоты."" ""Ты трус!""",0.2197281387499715,0.21965326
"""Trust me,"" he said.","""Поверь мне"", сказал он.",0.0,0.9965593
"""What's going on in the cave? I'm curious."" ""I have no idea.""","""Что происходит в пещере? Мне любопытно."" ""Понятия не имею.""",0.3153554052490132,0.9974623
"""What's the matter with you?"" she demanded.","""Что с тобой?"" Она потребовала.",0.2953872020786077,0.651766
"""What's the matter?"" asked the little white rabbit.","""Что случилось?"" Спросил маленького белого кролика.",0.0,0.99412376
"""When will you be back?"" ""It all depends on the weather.""","""Когда ты вернешься?"" ""Все зависит от погоды"".",0.3636227046500071,0.9967314
"""When will you be back?"" ""It all depends on the weather.""","""Когда ты вернешься?"" ""Всё зависит от погоды"".",0.547332024239071,0.9959227
"""Who is it?"" ""It's your mother.""","""Кто это?"" ""Это твоя мать"".",0.7426141117870938,0.99721897
"""Who is it?"" ""It's your mother.""","""Кто это?"" ""Это твоя мать.""",0.5642647028042946,0.99705684
"""Why aren't you going?"" ""Because I don't want to.""","""Почему ты не идешь?"" ""Потому что я не хочу"".",0.8761560783209453,0.9914205
"""Will you have another slice of pie?"" ""Yes, please.""","""Ты будешь еще кусочек пирога?"" ""Да, пожалуйста"".",0.4572313446186434,0.8314021
"""Will you have another slice of pie?"" ""Yes, please.""","""Хочешь еще кусочек пирога?"" ""Да, пожалуйста"".",0.4605329793777294,0.99389076
82% - more than four-fifths - of the island's exports is agricultural produce.,82% экспорта острова - более чем четыре пятых - приходится на сельскохозяйственную продукцию.,0.0,0.9941057
82% - more than four-fifths - of the island's exports is agricultural produce.,82% (более четырех пятых) экспорта острова приходится на сельскохозяйственную продукцию.,0.0,0.9946185
A 6% yield is guaranteed on the investment.,При инвестировании гарантируется 6-процентная доходность.,0.0,0.9966446
A Japanese would never do such a thing.,Японцы никогда бы не сделали такого.,0.0,0.9974726
A Japanese would never do such a thing.,Японцы никогда бы такого не сделали.,0.0,0.9975721
A Mr Brown wants you on the phone.,"Мистер Браун хочет, чтобы ты позвонил.",0.0,0.9981102
A Mr Marconi wants to see you.,Мистер Маркони хочет вас видеть.,0.0,0.9983664
A Mr Marconi wants to see you.,Вас хочет видеть мистер Маркони.,0.0,0.9983292
A Persian cat was sleeping under the table.,Под столом спал персидский кот.,1.0,0.99821967
A Persian cat was sleeping under the table.,Под столом спала персидская кошка.,0.0,0.9980835
A bad cold has kept me from studying this week.,Плохая простуда не позволила мне учиться на этой неделе.,0.0,0.98658943
A bad cold has kept me from studying this week.,Плохая простуда помешала мне учиться на этой неделе.,0.0,0.98933417
"A bad habit, once formed, is difficult to get rid of.","От плохой привычки, когда она возникла, трудно избавиться.",0.0,0.9794064
A bad smell permeated the room.,В комнате пронизывался плохой запах.,0.0,0.0073506646
A bad smell permeated the room.,Плохой запах пронзил комнату.,0.0,0.9970638
A bad workman always blames his tools.,Плохой рабочий всегда винит свои инструменты.,0.0,0.9974842
A bad workman blames his tools.,Плохой рабочий винит свои инструменты.,0.0,0.99757093
A bad workman complains of his tools.,Плохой рабочий жалуется на свои инструменты.,0.0,0.9956155
A ball flew in through the window.,Мяч влетел в окно.,0.0,0.9977837
A ball flew in through the window.,В окно влетел мяч.,1.0,0.99736553
A ball hit her on the right leg.,Мяч ударил её по правой ноге.,0.0,0.9973367
A ball is floating down the river.,Мяч плывет по реке.,0.0,0.99784636
A basketball team consists of five players.,Баскетбольная команда состоит из пяти игроков.,1.0,0.9907802
A bat flying in the sky looks like a butterfly.,Летающая летучая мышь в небе выглядит как бабочка.,0.0,0.99783933
A bat flying in the sky looks like a butterfly.,Летающая летучая мышь в небе похожа на бабочку.,0.3549481056010052,0.99741673
A bear can climb a tree.,Медведь может забраться на дерево.,0.0,0.9979709
A bear will not touch a dead body.,Медведь не прикоснется к мертвому телу.,0.0,0.99821585
A beautiful rainbow is spanning the sky.,Красивая радуга распространяется на небо.,0.0,0.88524294
A beautiful valley lies behind the hill.,За холмом лежит красивая долина.,0.0,0.9975235
A beautiful valley lies behind the hill.,Прекрасная долина лежит за холмом.,0.0,0.99700016
A bee flew out of the window.,Пчела вылетела из окна.,0.0,0.9969818
"A beer, please.","Пиво, пожалуйста.",1.0,0.99401313
A bicycle will rust if you leave it in the rain.,"Если оставить его под дождем, то велосипед будет ржавчиной.",0.0,0.00580402
A bicycle will rust if you leave it in the rain.,"Велосипед будет ржавчиной, если ты оставишь его под дождем.",0.4961683000340363,0.004489576
A big bridge was built over the river.,Большой мост был построен над рекой.,0.0,0.99653155
A boat capsized.,Лодка была перевернута.,0.0,0.9978441
A boat capsized.,Лодка перевернулась.,0.0,0.9977063
A book is lying on the desk.,На столе лежит книга.,1.0,0.99704546
A bookstore in that location wouldn't make enough money to survive.,"Книжный магазин в этом месте не заработает достаточно денег, чтобы выжить.",0.0,0.9966209
A boy is walking across the street.,Мальчик идет через дорогу.,0.0,0.9980059
A boy sleeping in bed seems to be an angel.,"Мальчик спит в постели, кажется, ангел.",0.0,0.008443782
A burglar broke into the bank last night.,Вчера вечером в банк вор вломился вор.,0.0,0.0059384676
A burglar broke into the bank last night.,Вчера вечером в банк ворвался грабитель.,0.0,0.9981939
A burnt child fears the fire.,Сгоревший ребенок боится огня.,0.0,0.98697567
A bus driver is responsible for the safety of the passengers.,За безопасность пассажиров отвечает водитель автобуса.,0.0,0.99827075
A bus transported us from the airport to the city.,Автобус перевез нас из аэропорта в город.,0.7071067811865475,0.9977743
A button came off my coat.,С моего пальто сорвалась кнопка.,0.0,0.9971008
A button has come off my raincoat.,Кнопка слезла с моего плаща.,0.0,0.9968432
A button has come off the coat.,Кнопка сорвалась с пальто.,0.0,0.97169626
A button has come off the coat.,С пальто снята кнопка.,0.0,0.98808134
A camel can store a large amount of water in the hump on its back.,Верблюд может хранить большое количество воды в горбе на спине.,0.2981247384881109,0.9877253
A camel is to the desert what a ship is to the sea.,"В пустыне - верблюд, который - в море.",0.0,0.95258445
A camel is to the desert what a ship is to the sea.,"Воистину, верблюд - к пустыне, а корабль - к морю.",0.0,0.982809
"A camel is, so to speak, a ship on the desert.","Верблюд - это, так сказать, корабль в пустыне.",1.0,0.997152
"A camel is, so to speak, a ship on the desert.","Так сказать, верблюд - это корабль в пустыне.",0.3211703274087688,0.9971974
A car drew up in front of my house.,Машина нарисована перед моим домом.,0.0,0.9978782
A careful reader would have noticed the mistake.,Тщательный читатель заметил бы ошибку.,0.7598356856515925,0.90090895
A cat appeared from under the desk.,Кошка появилась из-под стола.,0.0,0.99741995
A cat got out from under the car.,Кошка вышла из под машины.,0.0,0.9973406
A cat got out from under the car.,Кошка вышла из-под машины.,0.0,0.99754685
A cat ran across the street.,Кошка побежала через дорогу.,0.0,0.99835867
A cat was sitting on the chair.,Кошка сидела на стуле.,0.0,0.9971083
A cellar was dug on top of the hill and they slowly moved the house from the road to the hill.,"На вершине холма был вырыт подвал, и они медленно перевезли дом с дороги на холм.",0.1934529902282618,0.9784877
A cellar was dug on top of the hill and they slowly moved the house from the road to the hill.,"На вершине холма был вырыт подвал, и они медленно перенесли дом с дороги на холм.",0.1934529902282618,0.97762364
A cheetah runs as fast as any animal.,"Гепард бегает так же быстро, как и любое животное.",0.7772460244048295,0.99471503
A cheetah runs as fast as any animal.,"Гепард бежит так же быстро, как и любое животное.",0.5920650116149802,0.99516183
"A child is not a vessel for filling, but a fire to light.","Ребенок не является сосудом для наполнения, а огнем для освещения.",0.0,0.0055656265
"A child is not a vessel for filling, but a fire to light.","Ребёнок - это не сосуд для наполнения, а огонь для зажигания.",0.0,0.98080474
A church spire could be seen in the distance.,Церковный шпиль можно было увидеть вдали.,0.0,0.99584156
A church spire could be seen in the distance.,Церковный шпиль можно было увидеть вдалеке.,0.0,0.99407744
A cloud floated across the sky.,Облако плавало по небу.,0.0,0.9972228
A cloud passed across the moon.,Облако пересекло луну.,0.0,0.99648017
A cold spell gripped Europe.,Холодное заклинание захватило Европу.,0.0,0.99770015
A conflict of opinions arose over the matter.,По этому вопросу возник конфликт мнений.,0.0,0.9975877
A conflict of opinions arose over the matter.,По этому вопросу возникла коллизия мнений.,0.0,0.99779737
A cow gives us milk.,Корова дает нам молоко.,0.0,0.9978962
A cow is a useful animal.,Корова - полезное животное.,1.0,0.9980506
A crow is as black as coal.,"Ворон черный, как уголь.",0.0,0.997767
A crow is as black as coal.,"Ворона такая же черная, как и уголь.",0.0,0.99770856
A cubic meter corresponds to 1000 liters.,Кубический метр соответствует 1000 литров.,0.537284965911771,0.99663323
A cursory examination of his teeth indicated that he had gingivitis.,"Потоковый осмотр зубов показал, что у него цинивит.",0.502658727004553,0.854704
A cursory examination of his teeth indicated that he had gingivitis.,"Буквальное обследование зубов показало, что у него джингивит.",0.2630501434025343,0.7749934
A day has twenty-four hours.,У дня есть 24 часа.,0.0,0.9802408
A doctor's instruments must be kept absolutely clean.,Инструменты врача должны быть абсолютно чистыми.,0.0,0.9985353
A door must be either shut or open.,"Дверь должна быть либо закрыта, либо открыта.",1.0,0.995321
A dove is a symbol of peace.,Губы - это символ мира.,0.0,0.99774075
A driver is deeply attached to his old car.,Водитель глубоко привязан к своей старой машине.,1.0,0.99755365
A driver was sleeping in the car.,Водитель спал в машине.,0.0,0.9966176
A fence between makes love more keen.,Забор между ними делает любовь более привлекательной.,0.0,0.9983034
A fence runs around the house.,Ограда ходит вокруг дома.,0.0,0.9975439
A fence runs around the house.,Ограда вращается вокруг дома.,0.0,0.99849784
A fierce dog attacked the girl.,На девушку напала жестокая собака.,0.0,0.9959727
A fierce dog attacked the girl.,Жестокая собака напала на девушку.,0.0,0.9977108
A fire broke out after the earthquake.,После землетрясения начался пожар.,0.0,0.99714905
A fire broke out near my house.,Рядом с моим домом начался пожар.,0.488923022434901,0.9971493
A fire can spread faster than you can run.,"Огонь может распространяться быстрее, чем ты можешь бежать.",0.537284965911771,0.99379903
A fire may happen at any moment.,Пожар может произойти в любой момент.,0.488923022434901,0.99575484
A fish leaped out of the water.,Рыба выскочила из воды.,0.0,0.99759066
A fish swims by moving its tail.,"Рыба плавает, двигая хвостом.",1.0,0.99571604
A fly can walk on the ceiling.,Муха может ходить по потолку.,1.0,0.99631447
A fool's bolt is soon shot.,Скоро будет застрелен болт дуры.,0.0,0.8102744
A fool's bolt is soon shot.,Скоро пристрелят болта дурака.,0.0,0.5195212
A fork fell off the table.,Вилка упала со стола.,0.0,0.99802846
A fox is not caught twice in the same snare.,Лиса не попадает дважды в одну и ту же сеть.,0.0,0.9976417
A friend in need is a friend indeed.,Друг в беде действительно друг.,0.0,0.96297807
A friend told me that story.,Друг рассказал мне эту историю.,0.0,0.99818987
A full description of him has been circulated in every newspaper.,Полное описание его содержания было распространено во всех газетах.,0.2777619034011791,0.996555
A full description of him has been circulated in every newspaper.,Его полное описание было распространено во всех газетах.,0.4316700106852252,0.996675
A fuse has blown.,Взорвался взрыватель.,0.0,0.99661237
A fuse has blown.,Взрывчатка взорвалась.,0.0,0.9977308
A gentle wind made ripples on the surface of the pond.,Нежный ветер дробил на поверхности пруда.,0.0,0.00598607
A gentle wind made ripples on the surface of the pond.,Легкий ветер дробил на поверхности пруда.,0.0,0.0072567775
A gigantic bird came flying toward him.,К нему подлетела гигантская птица.,1.0,0.99740195
A gigantic bird came flying toward him.,К нему прилетела гигантская птица.,0.0,0.996855
A girl approached the king from among the crowd.,Девушка подошла к королю из толпы.,0.0,0.8698867
A girl with blonde hair came to see you.,К тебе пришла девушка с блондинками.,0.0,0.9750645
A good appetite is a good sauce.,Хороший аппетит - хороший соус.,1.0,0.9946785
A good coach trains this team.,Хороший тренер тренирует эту команду.,1.0,0.9975204
A good idea came across my mind.,Мне пришла в голову хорошая идея.,0.0,0.9972459
A good memory is his weapon.,Хорошая память - это его оружие.,0.0,0.99669003
A great man doesn't care about his appearance.,Великий человек не заботится о своей внешности.,0.0,0.9980411
A great man doesn't care about his appearance.,Великому человеку плевать на его внешность.,0.0,0.9979658
A great scholar is not necessarily a good teacher.,Великий ученый не обязательно хороший учитель.,0.0,0.997071
"A group of foreigners arrived in Edo, i.e. Tokyo.","В Эдо прибыла группа иностранцев, т.е. Токио.",0.0,0.017587177
A heavy snow fell in Kyoto for the first time in ages.,В Киото впервые за многие годы упал тяжелый снег.,0.0,0.9947266
A heavy snow fell in Kyoto for the first time in ages.,В Киото впервые за сто лет упал тяжелый снег.,0.0,0.99551904
A helicopter circled over us.,Нас облетел вертолет.,0.0,0.99818474
A helicopter is able to take off and land straight up and down.,Вертолет может взлететь и приземляться прямо вверх и вниз.,0.0,0.98320425
A helicopter is able to take off and land straight up and down.,Вертолет может взлететь и приземлиться прямо вверх и вниз.,0.0,0.9855097
A hideous monster used to live there.,Там жил ужасный монстр.,0.4482700320176827,0.99664503
A hideous monster used to live there.,Жуткое чудовище жило там.,0.0,0.9980565
A home is a once-in-a-lifetime purchase so you don't want to make any snap decisions.,"Дом - это покупка раз в жизни, так что ты не хочешь принимать поспешные решения.",0.222652802438475,0.98845553
A hummingbird is no larger than a butterfly.,"Мухмад - это не больше, чем бабочка.",0.0,0.9916409
A hummingbird is no larger than a butterfly.,Колибри не больше бабочки.,1.0,0.9866585
A hunter hunted hares with his dog.,Охотник охотился на зайцов со своей собакой.,0.0,0.99716645
A jack of all trades is a master of none.,Всякая торговля - это не мастер.,0.0,0.046749834
A jack of all trades is a master of none.,Витрина всех супермаркетов - это никчемный мастер.,0.0,0.21503441
A known mistake is better than an unknown truth.,Известная ошибка лучше неведомой истины.,0.0,0.99765295
A little louder.,Немного громче.,0.0,0.9952554
A little make-up worked wonders with her.,Немного макияжа с ней сработало.,0.0,0.99464464
A little make-up worked wonders with her.,Немного макияжа сработал с ней чудеса.,0.0,0.2661949
A loaf of bread is better than the songs of birds.,"Чашка хлеба лучше, чем песни птиц.",0.0,0.9971054
A loaf of bread is better than the songs of birds.,"Кусок хлеба лучше, чем песни птиц.",0.0,0.99618214
A lot of bicycles are illegally parked in front of the station.,Перед станцией незаконно припарковано много велосипедов.,0.0,0.99750525
A lot of boys are running in the park.,Многие парни бегут в парке.,0.0,0.9619479
A lot of people were killed in World War II.,Во время Второй мировой войны погибло много людей.,1.0,0.9904265
A lot of people were waiting for him.,Его ждало много людей.,0.0,0.99653924
A lot of policemen guarded the hall.,Многие полицейские охраняли зал.,0.0,0.99635446
A lot of trees were cut down.,Много деревьев было срублено.,1.0,0.9976786
A lot of young people went to Hawaii this summer.,Многие молодые люди этим летом ездили на Гавайи.,0.0,0.9929934
A lot of young people went to Hawaii this summer.,Этим летом многие молодые люди ездили на Гавайи.,0.0,0.9931763
A majority of students dislike history.,Большинство студентов не любят историю.,0.537284965911771,0.9960873
A man appeared from behind the door.,Человек появился за дверью.,0.0,0.8423926
A man appeared from behind the door.,Мужчина появился за дверью.,0.0,0.77458423
A man came up to me and asked for a match.,Один мужчина подошел ко мне и попросил спичку.,0.5873949094699213,0.99718946
A man drew near.,Подошёл мужчина.,0.0,0.9919626
A man of straw is worth a woman of gold.,Мужчина соломы стоит золотой женщины.,0.6731821382417487,0.0842507
A man overtook her.,Мужчина забрал ее.,0.0,0.9976876
A man overtook her.,Мужчина захватил ее.,0.0,0.9973713
"A man who has never gone to school may steal from a freight car, but if he has a university education, he may steal the whole railroad.","Человек, который никогда не ходил в школу, может украсть у грузового автомобиля, но если он имеет университетское образование, он может украсть всю железную дорогу.",0.6067878050308901,0.12652215
A man's life has its ups and downs.,У жизни человека есть свои взлеты и падения.,0.0,0.9923666
A man's life has its ups and downs.,Жизнь человека имеет свои взлеты и падения.,0.0,0.99487644
A mathematical truth is neither simple nor complicated; it is.,Математическая правда не проста и не сложна; это так.,0.0,0.97932833
A mathematical truth is neither simple nor complicated; it is.,"Математическая правда не является ни простой, ни сложной; это так.",0.4637878319059324,0.9201733
A minute has sixty seconds.,У минуты шестьдесят секунд.,0.0,0.028044945
A mirror reflects light.,Зеркало отражает свет.,1.0,0.9981351
A miser hoards money not because he is prudent but because he is greedy.,"Мизер собирает деньги не потому, что он благоразумен, а потому, что он жадный.",0.5312583871630396,0.9942726
A miser hoards money not because he is prudent but because he is greedy.,"Мизер прячет деньги не потому, что он благоразумен, а потому, что он жадный.",0.5312583871630396,0.99487114
A miserable sequence of defeats discouraged us.,Несчастный последовательность поражений отпугнул нас.,0.0,0.0072662127
A miserable sequence of defeats discouraged us.,Плохая последовательность поражений помешала нам.,0.0,0.9730102
A model must have an attractive body.,Модель должна иметь привлекательное тело.,0.0,0.9974957
A model must have an attractive body.,У модели должно быть привлекательное тело.,1.0,0.99672604
A moment's hesitation may cost a pilot his life.,Момент колебания может стоить пилоту жизни.,0.6147881529512643,0.99791974
A monkey is climbing up a tall tree.,Обезьяна забирается на высокое дерево.,0.537284965911771,0.9973157
A monkey is climbing up a tall tree.,Обезьяна поднимается по высокому дереву.,0.0,0.99501663
A more experienced lawyer would have dealt with the case in a different way.,Более опытный адвокат мог бы заняться этим делом иным образом.,0.0,0.9980988
A more experienced lawyer would have dealt with the case in a different way.,Более опытный адвокат занимался бы этим делом иным образом.,0.0,0.9967463
A mosquito just bit me.,Комаровый комар укусил меня.,0.0,0.99814236
A mosquito just bit me.,Комар только что укусил меня.,0.0,0.998376
A mouse is a timid creature.,Мышь - это робкое существо.,0.0,0.99805415
A mouse is a timid creature.,Мышь - робкое существо.,0.0,0.9983734
A mouse went for a walk on the table.,Мышь пошла прогуляться по столу.,0.0,0.9964115
A nephew is a son of one's brother or sister.,Племянник - сын своего брата или сестры.,0.427287006396234,0.78697187
A new team was formed in order to take part in the boat race.,Для участия в гонке на лодках была сформирована новая команда.,0.0,0.9889981
A nuclear war will bring about the destruction of mankind.,Ядерная война приведет к уничтожению человечества.,0.488923022434901,0.99683714
A number of cars are parked in front of my house.,Перед моим домом стоит несколько машин.,0.0,0.99787486
A number of cars are parked in front of my house.,Перед моим домом припарковано несколько машин.,0.488923022434901,0.998002
A nurse took my temperature.,Медсестра выдержала мою температуру.,0.0,0.9972663
A nurse took my temperature.,Медсестра приняла мою температуру.,0.0,0.9967579
A nurse wears white.,Медсестра носит белое.,0.0,0.9977063
"A passenger fainted, but the stewardess brought him round.","Пассажир упал в обморок, но стюардесса привела его в себя.",0.4336189090348675,0.996636
"A passenger fainted, but the stewardess brought him round.","Пассажир упал в обморок, но стюардесса привезла его.",0.0,0.99014217
A pencil is sticking out of your pocket.,Карандаш высовывается из твоего кармана.,0.0,0.9975116
"A piano is expensive, but a car is more expensive.","Пианино дорогое, но машина дороже.",1.0,0.99242556
A piano is expensive.,Пианино дорого стоит.,0.0,0.99759954
A piece of bread was not enough to satisfy his hunger.,"Кусок хлеба был не достаточно, чтобы удовлетворить его голод.",0.3508439695638686,0.0067781378
A piece of bread was not enough to satisfy his hunger.,"Кусок хлеба был недостаточен для того, чтобы удовлетворить его голод.",0.0,0.99684274
A pound is a unit of weight.,Фунт - это единица веса.,1.0,0.9965258
A prism decomposes light.,Призм разлагает свет.,0.0,0.9528216
A promise made is a debt unpaid.,Обещание - это невыплаченная задолженность.,0.0,0.9973369
A promise made is a debt unpaid.,Обещание - это непогашенная задолженность.,0.0,0.9983224
A quarrel arose about what to do with the land.,"Возникла ссора о том, что делать с землей.",0.5814307369682193,0.9942372
A quarrel arose about what to do with the land.,"Произошла ссора о том, что делать с землей.",0.537284965911771,0.99104476
A rabbit has long ears and a short tail.,У кролика длинные уши и короткий хвост.,1.0,0.9975683
A rat chewed a hole in the wall.,Крыса жвала дыру в стене.,0.537284965911771,0.13775572
A rat chewed a hole in the wall.,Крыса жевала дыру в стене.,0.537284965911771,0.012719007
A rat ran across the road.,Крыса перебежала дорогу.,0.0,0.9983119
"A republic is a nation whose head is not a king or queen, but a president.","Республика - это нация, чья голова не король или королева, а президент.",0.5452353574508253,0.6478342
"A republic is a nation whose head is not a king or queen, but a president.","Республика - это нация, голова которой не король или королева, а президент.",0.5452353574508253,0.95470697
A resolution to the problem was more difficult than we anticipated.,"Решение этой проблемы оказалось более трудным, чем мы ожидали.",0.0,0.99761534
A robot can do more work than a man can.,"Робот может делать больше работы, чем человек.",0.3688939732334406,0.9955591
A rope was thrown into the water.,В воду бросили веревку.,0.0,0.99805546
A rope was thrown into the water.,В воду бросили верёвку.,1.0,0.99818546
A rose has thorns on its stem.,На стебле розы шипы.,0.0,0.997122
A rose has thorns on its stem.,У розы есть шипы на стебле.,1.0,0.9956391
A rose smells sweet.,Роза пахнет сладко.,0.0,0.9975204
"A shave, please.","Побриться, пожалуйста.",0.0,0.07826423
A shit a day keeps the doctor away.,"Дерьмово день, чтобы доктор не брался за дело.",0.0,0.024491614
A shit a day keeps the doctor away.,Дерьмо в день держит доктора подальше.,0.0,0.011539327
A sigh fell from her lips.,С губ упал вздох.,0.0,0.99636394
A sigh fell from her lips.,Её губы вздохнули.,0.0,0.9923253
"A single step, and you will fall over the cliff.","Один шаг, и ты упадешь с обрыва.",0.0,0.9973456
A small forest fire can easily spread and quickly become a great conflagration.,Маленький лесной пожар может легко распространиться и быстро стать большим пожаром.,0.4446296646916514,0.99630153
A small stream ran down among the rocks.,Маленький поток пробежал среди камней.,0.0,0.998464
A squirrel hid among the branches.,Белка спряталась среди ветвей.,0.0,0.9984157
A squirrel hid among the branches.,Белка спряталась между ветвями.,0.0,0.99823123
A storm kept the ship from leaving Kobe.,Шторм заставил корабль покинуть Кобе.,0.0,0.9961669
A strange feeling came over me.,Странное чувство настигло меня.,0.0,0.9978671
A strange feeling came over me.,Странное чувство пришло ко мне.,0.0,0.99706656
A strange sound was heard from behind the door.,Странный звук был слышно за дверью.,0.0,0.9504584
A strange sound was heard from behind the door.,Странный звук был слышен из-за двери.,0.0,0.9975044
A strange thing happened last night.,Вчера вечером произошло нечто странное.,1.0,0.9977654
A strange thing happened last night.,Странная вещь произошла прошлой ночью.,0.0,0.99763453
A stranger spoke to me in the bus.,Незнакомец говорил со мной в автобусе.,0.0,0.99767584
A strong wind arose.,Ветер поднялся.,0.0,0.99375397
A strong wind arose.,Произошёл сильный ветер.,0.0,0.93423694
A strong wind blew all day long.,Сильный ветер дул весь день.,0.0,0.9968364
A strong wind is blowing and I can't walk fast.,"Сильный ветер дует, и я не могу быстро идти.",0.6989307622784944,0.9880967
A strong wind was blowing.,Сильный ветер дул.,0.0,0.99615014
A student spends a lot of time studying.,Ученик проводит много времени в учебе.,0.0,0.9833086
A student wants to see you.,Тебя хочет видеть студент.,0.668740304976422,0.99812835
A student wants to see you.,Студент хочет тебя видеть.,0.0,0.9983157
A sudden illness forced her to cancel her appointment.,Внезапная болезнь вынудила ее отменить встречу.,0.0,0.9976889
A sudden illness prevented him from going there.,Внезапная болезнь не позволила ему туда поехать.,0.0,0.9966043
A sudden illness prevented him from going there.,Внезапная болезнь помешала ему туда поехать.,0.6434588841607617,0.9974625
A swarm of mosquitoes followed him.,За ним последовала куча комаров.,0.0,0.998197
A swarm of mosquitoes followed him.,За ним последовала роя комаров.,0.0,0.03949834
A table has four legs.,На столе четыре ноги.,0.0,0.99694234
A talking dictionary is no longer a fantasy.,Говорящий словарь больше не фантазия.,0.0,0.9975235
A tanker is a ship carrying oil.,"Танкер - это корабль, перевозивший нефть.",0.0,0.9929028
